"work_tendency_7","persistence_5","competence_5","competence_1","persistence_7r","outcome_5","outcome_3","outcome_6","regulation_13r","details_6","agreeableness_1","work_tendency_1","assertiveness_1","ocb_1","eq_2","eq_6","competence_8","assertiveness_4","ocb_3","profit_6","cognitive","efficiency_2","openness_to_feedback_1","stability_6r","details_12","candidate_ID"
"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","9","5","5","5","5","112233"
"8 Minutes","[object","1","1","1","1","1","1","2","3","3","5","5","5","5","5","4","3","2","2","1","1","11","3","3","3",
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","9","1","1","1",
"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","9","5","5","5",
"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","9","5","5","5",
"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","9","5","5","5",
"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","10","5","5","5",
"","","","","","","","","","","","","","","","","","","","","","","","",
"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","9","4","4","4",
"","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","","",
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","9","1","1","1",
